participant_id,control_mode,discovered_after_prompt,voluntary_repeat,practice_1_outcome,practice_2_outcome,practice_3_outcome,predicted_direction,predicted_relative_strength,observed_direction,observed_relative_strength,prediction_correct,target_attempt_4_outcome,clarity_1_to_5,fun_1_to_5,fatigue_1_to_5,observer_notes
P01,GrabThrow,,,,,,,,,,,,,,,,
P01,PullSling,,,,,,,,,,,,,,,,
P01,SwipeSmack,,,,,,,,,,,,,,,,
P02,PullSling,,,,,,,,,,,,,,,,
P02,SwipeSmack,,,,,,,,,,,,,,,,
P02,GrabThrow,,,,,,,,,,,,,,,,
P03,SwipeSmack,,,,,,,,,,,,,,,,
P03,GrabThrow,,,,,,,,,,,,,,,,
P03,PullSling,,,,,,,,,,,,,,,,
P04,GrabThrow,,,,,,,,,,,,,,,,
P04,SwipeSmack,,,,,,,,,,,,,,,,
P04,PullSling,,,,,,,,,,,,,,,,
P05,PullSling,,,,,,,,,,,,,,,,
P05,GrabThrow,,,,,,,,,,,,,,,,
P05,SwipeSmack,,,,,,,,,,,,,,,,
